Client name,Service Offerings,Service Lines,[Year-Month],[Service Offering ID],Country,Collection Days,Revenue,Gross Profit,Direct Profit,Total Cost,Total Cost GP,Total Cost DP,External Blue,External Green,External Red,External Yellow,External Pink,External Orange,External Black,Internal Blue,Internal green,Internal Red,Internal Yellow,Internal Orange,Internal White,Internal Brown,Internal Blue,Internal Pink,Internal Pink
ABC-OPTIMA GmbH,Cylinder,Mars,2023-Dec,SO00026,USA,30,124.58,110.3644,19.6109,104.9691,14.2156,90.7535,,,,,,,90.7535,,,,,,,14.2156,,,
ABC-OPTIMA GmbH,Cylinder,Mars,2023-Dec,SO00026,USA,30,,-178.829,-178.829,178.829,178.829,0,,,,,,,,,,,,,,178.829,,,
ABGM GmbH,Cube,Venus,2023-Dec,SO00060,ITALY,60,0,-1.2212,-169.6022,169.6022,1.2212,168.381,124.9792,,,,,,43.4018,,,,,,,1.2212,,,
ABGM GmbH,Cube,Venus,2023-Dec,SO00060,ITALY,60,,-70.6148,-70.6148,70.6148,70.6148,0,,,,,,,,,,,,,,70.6148,,,
ACID HANDELS- UND TRANSPORT GMBH,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,180.8,158.5806,68.4477,112.3523,22.2194,90.1329,34.9449,55.188,,,,,,,,,,,,22.2194,,,
ACID HANDELS- UND TRANSPORT GMBH,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,18.08,-177.657,-192.069,210.149,195.737,14.412,,,,,,,,,14.412,,,,,195.737,,,
actus e.U. Inh: GAVRILOVA Magdalena,Cuboid,Earth,2023-Dec,SO00058,USA,30,109.63,109.63,109.63,0,0,0,,,,,,,,,,,,,,,,,
actus e.U. Inh: GAVRILOVA Magdalena,Swish Wallet,Earth,2023-Dec,SO00022,USA,30,,0,0,0,0,0,,,,,,,,,,,,0,,,,,
actus e.U. Inh: GAVRILOVA Magdalena,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,1096.34,1096.34,542.1927,554.1473,0,554.1473,554.1473,,,,,,,,,,,,,,,,
actus e.U. Inh: GAVRILOVA Magdalena,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,,-352.7159,-352.7159,352.7159,352.7159,0,,,,,352.7159,,,,,,,,,,,,
actus e.U. Inh: GAVRILOVA Magdalena,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,,-1656.7709,-1990.5675,1990.5675,1656.7709,333.7966,,,,,,,,,,,71.1202,,,1656.7709,,262.6764,
actus e.U. Inh: GAVRILOVA Magdalena,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,,-0.4245,-0.4245,0.4245,0.4245,0,,,,,,,,,,,,,,0.4245,,,
actus e.U. Inh: GAVRILOVA Magdalena,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,,0,-258.965,258.965,0,258.965,258.965,,,,,,,,,,,,,,,,
actus e.U. Inh: GAVRILOVA Magdalena,ONEset,Earth,2023-Dec,SO00023,UK,60,7920.83,7920.83,3510.195,4410.635,0,4410.635,4410.635,,,,,,,,,,,,,,,,
actus e.U. Inh: GAVRILOVA Magdalena,ONEset,Earth,2023-Dec,SO00023,UK,60,4084.52,4022.4323,1878.3744,2206.1456,62.0877,2144.0579,2144.0579,,,,,,,,,,,,,62.0877,,,
actus e.U. Inh: GAVRILOVA Magdalena,ONEset,Earth,2023-Dec,SO00023,UK,60,707.29,707.29,707.29,0,0,0,,,,,,,,,,,,,,,,,
actus e.U. Inh: GAVRILOVA Magdalena,ONEset,Earth,2023-Dec,SO00023,UK,60,408.46,-69.7249,-69.7249,478.1849,478.1849,0,,,,,,,,,,,,,,478.1849,,,
actus e.U. Inh: GAVRILOVA Magdalena,ONEset,Earth,2023-Dec,SO00023,UK,60,,-95.4332,-136.5513,136.5513,95.4332,41.1181,,,,,,,,,,,41.1181,,,95.4332,,,
AD Job Assist GmbH,Scruncho,Venus,2023-Dec,SO00065,USA,30,30298,30298,6453.7,23844.3,0,23844.3,,,,,,,23844.3,,,,,,,,,,
AD Job Assist GmbH,Scruncho,Venus,2023-Dec,SO00065,USA,30,,-2.3644,-2.3644,2.3644,2.3644,0,,,,,,,,,,,,,,2.3644,,,
AD Job Assist GmbH,Uno Wear,Venus,2023-Dec,SO00064,USA,30,72369.34,72292.2212,50042.8917,22326.4483,77.1188,22249.3295,21163.024,,313.49,373.27,,,,,,,399.5455,,,77.1188,,,
AD Job Assist GmbH,Uno Wear,Venus,2023-Dec,SO00064,USA,30,,-811.2279,-957.6955,957.6955,811.2279,146.4676,,,,,,,,,,,146.4676,,,811.2279,,,
ADO Installationstechnik GmbH,Rhino Case,Mars,2023-Dec,SO00068,USA,30,9798.13,9627.9433,6427.5388,3370.5912,170.1867,3200.4045,2525.3315,,477.433,104.4,,,93.24,,,,,,,170.1867,,,
ADO Installationstechnik GmbH,Rhino Case,Mars,2023-Dec,SO00068,USA,30,,-1251.3182,-1251.3182,1251.3182,1251.3182,0,,,,,,,,,,,,,,1251.3182,,,
ADO Installationstechnik GmbH,Rhino Case,Mars,2023-Dec,SO00068,USA,30,,0,0,0,0,0,,,,,,,,,,,,,,,,,
ADO Installationstechnik GmbH,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,-20.5787,-20.5787,20.5787,20.5787,0,,,,,,,,,,,,,,20.5787,,,
